,City,id_state,log,lat,category,1_period,2_period,3_period,4_period,5_period,6_period,7_period,8_period,9_period,10_period,primary,secondary,tertiary,quaternary
0,Her?t,10001,11.2208779,50.9635801,Ayu,80,41,79,76,99,79,21,98,45,82,35,61,54,51
1,Her?t,10001,11.2208779,50.9635801,Chi,49,82,59,72,10,19,25,93,33,20,66,36,67,12
2,Her?t,10001,11.2208779,50.9635801,Den,54,76,61,96,66,89,14,81,34,40,46,75,10,89
3,Her?t,10001,11.2208779,50.9635801,Allo,61,43,95,70,69,95,63,85,18,96,73,45,67,29
4,Her?t,10001,11.2208779,50.9635801,Nat,84,54,71,96,24,21,46,68,72,10,45,26,43,90
5,Her?t,10001,11.2208779,50.9635801,Vet,39,42,95,22,33,42,92,56,65,34,84,42,48,55
6,Her?t,10001,11.2208779,50.9635801,Ene,83,92,90,87,63,47,84,69,34,21,11,94,16,90
7,Her?t,10001,11.2208779,50.9635801,hom,77,53,43,14,55,91,48,63,89,92,64,42,77,37
8,Her?t,10001,11.2208779,50.9635801,Tra,78,66,95,24,61,21,26,33,97,14,19,53,24,12
9,Her?t,10001,11.2208779,50.9635801,Una,53,27,32,97,30,56,54,44,97,57,30,31,25,95
10,Kabul,10002,69.1776838,34.5260109,Ayu,48,15,33,93,21,18,64,78,46,24,55,14,98,68
11,Kabul,10002,69.1776838,34.5260109,Chi,43,66,88,61,33,42,25,64,76,48,54,97,86,63
12,Kabul,10002,69.1776838,34.5260109,Den,65,23,52,97,99,30,27,74,51,97,50,49,86,96
13,Kabul,10002,69.1776838,34.5260109,Allo,28,76,23,80,39,22,40,77,35,56,71,70,13,59
14,Kabul,10002,69.1776838,34.5260109,Nat,35,99,81,64,24,45,73,61,67,64,42,18,32,44
15,Kabul,10002,69.1776838,34.5260109,Vet,68,39,15,99,18,87,54,78,82,34,27,13,52,89
16,Kabul,10002,69.1776838,34.5260109,Ene,79,86,33,61,60,28,54,77,31,78,93,16,71,71
17,Kabul,10002,69.1776838,34.5260109,hom,67,71,10,18,36,42,58,18,33,86,12,41,65,78
18,Kabul,10002,69.1776838,34.5260109,Tra,51,59,41,52,30,81,80,29,78,25,97,70,13,95
19,Kabul,10002,69.1776838,34.5260109,Una,65,79,70,12,49,58,93,48,67,45,36,58,90,65
20,Elbasan,10003,20.0794072,41.1105874,Ayu,98,97,62,13,32,32,17,37,55,26,46,50,23,81
21,Elbasan,10003,20.0794072,41.1105874,Chi,76,54,58,99,64,41,25,50,27,95,36,75,34,92
22,Elbasan,10003,20.0794072,41.1105874,Den,84,48,99,98,17,28,73,13,17,88,13,89,38,68
23,Elbasan,10003,20.0794072,41.1105874,Allo,54,61,51,32,94,49,71,73,22,65,33,43,67,15
24,Elbasan,10003,20.0794072,41.1105874,Nat,63,29,78,42,15,23,14,46,66,85,13,87,48,37
25,Elbasan,10003,20.0794072,41.1105874,Vet,40,75,42,85,64,81,48,20,69,68,25,45,82,63
26,Elbasan,10003,20.0794072,41.1105874,Ene,82,55,10,73,91,44,68,78,23,34,22,68,58,47
27,Elbasan,10003,20.0794072,41.1105874,hom,67,45,99,18,61,23,29,53,65,88,26,15,36,60
28,Elbasan,10003,20.0794072,41.1105874,Tra,31,40,99,84,68,91,41,31,71,38,37,41,25,72
29,Elbasan,10003,20.0794072,41.1105874,Una,27,87,61,12,25,79,22,66,29,63,29,36,78,70
30,Tirana,10004,19.82556285758297,41.3305141,Ayu,98,83,45,62,19,46,13,46,89,62,37,13,81,79
31,Tirana,10004,19.82556285758297,41.3305141,Chi,84,27,30,18,27,68,58,20,58,94,88,84,52,55
32,Tirana,10004,19.82556285758297,41.3305141,Den,92,37,79,93,20,44,35,78,69,37,74,22,31,37
33,Tirana,10004,19.82556285758297,41.3305141,Allo,62,97,25,48,61,69,92,26,79,75,50,36,93,73
34,Tirana,10004,19.82556285758297,41.3305141,Nat,72,25,10,31,13,98,14,31,94,78,69,53,33,92
