,State,id_country,log_S,lat_S,category,1_period,2_period,3_period,4_period,5_period,6_period,7_period,8_period,9_period,10_period,primary,secondary,tertiary,quaternary
0,Herat,1,11.2208779,50.9635801,Ayu,77,32,58,52,49,45,40,50,65,76,84,93,12,52
1,Herat,1,11.2208779,50.9635801,Chi,99,53,75,61,19,15,86,63,52,74,16,94,69,39
2,Herat,1,11.2208779,50.9635801,Den,81,94,32,24,88,72,77,26,20,88,56,68,46,50
3,Herat,1,11.2208779,50.9635801,Allo,89,68,22,39,76,76,41,24,92,35,38,82,78,59
4,Herat,1,11.2208779,50.9635801,Nat,25,21,38,75,10,25,92,22,59,22,15,30,84,27
5,Herat,1,11.2208779,50.9635801,Vet,83,14,81,36,14,81,35,48,44,44,44,96,33,81
6,Herat,1,11.2208779,50.9635801,Ene,22,63,18,25,66,27,74,74,83,61,61,85,81,47
7,Herat,1,11.2208779,50.9635801,hom,96,13,43,32,31,19,35,34,67,53,28,36,65,87
8,Herat,1,11.2208779,50.9635801,Tra,93,17,79,27,17,99,71,45,61,81,81,21,54,56
9,Herat,1,11.2208779,50.9635801,Una,28,56,49,95,35,22,31,58,75,36,77,85,48,58
10,Kabul,1,69.1776838,34.5260109,Ayu,18,79,43,49,87,79,33,53,86,99,87,85,23,18
11,Kabul,1,69.1776838,34.5260109,Chi,87,34,91,31,33,85,61,72,64,38,93,21,85,80
12,Kabul,1,69.1776838,34.5260109,Den,52,88,87,75,65,73,37,90,71,62,33,66,42,80
13,Kabul,1,69.1776838,34.5260109,Allo,22,84,85,41,22,19,82,90,86,68,26,13,65,85
14,Kabul,1,69.1776838,34.5260109,Nat,35,76,43,81,30,80,73,44,96,83,20,96,14,58
15,Kabul,1,69.1776838,34.5260109,Vet,50,74,75,60,29,59,95,56,33,28,12,53,55,78
16,Kabul,1,69.1776838,34.5260109,Ene,43,21,59,63,25,20,85,71,85,19,33,55,51,34
17,Kabul,1,69.1776838,34.5260109,hom,66,32,89,84,11,67,16,62,64,69,89,98,55,37
18,Kabul,1,69.1776838,34.5260109,Tra,73,51,39,74,60,45,44,87,78,97,77,89,48,69
19,Kabul,1,69.1776838,34.5260109,Una,39,72,81,37,96,15,38,24,69,66,61,29,59,99
20,Elbasan County,2,20.0794072,41.1105874,Ayu,61,28,82,36,32,31,71,95,16,31,93,38,38,51
21,Elbasan County,2,20.0794072,41.1105874,Chi,58,58,97,31,81,31,88,84,21,20,99,76,30,59
22,Elbasan County,2,20.0794072,41.1105874,Den,14,55,46,20,99,44,17,89,50,55,47,39,48,59
23,Elbasan County,2,20.0794072,41.1105874,Allo,61,13,18,64,94,10,22,80,29,65,90,43,68,65
24,Elbasan County,2,20.0794072,41.1105874,Nat,14,73,37,93,95,93,12,67,14,79,89,69,28,30
25,Elbasan County,2,20.0794072,41.1105874,Vet,19,94,45,15,41,51,36,11,86,43,56,46,47,62
26,Elbasan County,2,20.0794072,41.1105874,Ene,65,60,44,17,10,86,18,85,17,90,71,64,87,48
27,Elbasan County,2,20.0794072,41.1105874,hom,47,72,97,45,69,62,92,92,17,27,92,77,56,25
28,Elbasan County,2,20.0794072,41.1105874,Tra,29,20,96,85,99,14,48,30,64,58,71,32,84,74
29,Elbasan County,2,20.0794072,41.1105874,Una,11,83,36,45,40,41,93,19,53,33,22,44,54,89
30,Tirana County,2,19.82556285758297,41.3305141,Ayu,89,14,17,90,27,48,91,23,20,12,83,69,20,58
31,Tirana County,2,19.82556285758297,41.3305141,Chi,93,38,89,57,87,76,65,60,19,80,41,85,73,65
32,Tirana County,2,19.82556285758297,41.3305141,Den,74,89,79,88,62,24,30,48,21,67,30,65,69,29
33,Tirana County,2,19.82556285758297,41.3305141,Allo,32,74,40,94,10,79,15,79,81,37,32,24,95,72
34,Tirana County,2,19.82556285758297,41.3305141,Nat,13,50,59,64,24,96,63,55,32,37,92,90,44,43
35,Tirana County,2,19.82556285758297,41.3305141,Vet,92,88,43,94,47,67,82,11,15,51,82,23,74,60
36,Tirana County,2,19.82556285758297,41.3305141,Ene,84,68,59,99,86,64,34,69,33,83,64,55,59,37
37,Tirana County,2,19.82556285758297,41.3305141,hom,23,77,93,39,99,73,80,47,90,70,82,30,68,45
38,Tirana County,2,19.82556285758297,41.3305141,Tra,55,31,49,11,47,56,92,76,14,85,25,95,61,57
39,Tirana County,2,19.82556285758297,41.3305141,Una,99,73,98,65,77,89,64,97,23,53,72,20,53,64
40,Tirana District,2,19.82556285758297,41.3305141,Ayu,84,88,47,67,11,57,78,97,77,15,63,33,13,22
41,Tirana District,2,19.82556285758297,41.3305141,Chi,92,87,44,39,62,21,99,55,76,64,45,40,83,53
42,Tirana District,2,19.82556285758297,41.3305141,Den,51,23,48,90,19,98,40,75,84,17,18,31,72,43
43,Tirana District,2,19.82556285758297,41.3305141,Allo,19,32,27,79,36,93,22,72,73,34,57,49,60,72
44,Tirana District,2,19.82556285758297,41.3305141,Nat,82,41,46,54,84,91,19,94,61,49,95,27,33,79
45,Tirana District,2,19.82556285758297,41.3305141,Vet,15,62,37,17,99,81,77,98,78,20,28,68,74,52
46,Tirana District,2,19.82556285758297,41.3305141,Ene,68,42,43,48,82,35,99,69,15,25,15,91,39,22
47,Tirana District,2,19.82556285758297,41.3305141,hom,19,47,75,27,21,62,65,37,60,31,18,44,13,46
48,Tirana District,2,19.82556285758297,41.3305141,Tra,79,77,35,18,11,41,65,53,92,19,64,71,27,22
49,Tirana District,2,19.82556285758297,41.3305141,Una,58,59,51,27,34,95,28,93,72,91,94,76,64,98
50,Algiers,3,3.10793272,36.73459754,Ayu,72,99,34,82,43,61,88,17,91,68,91,15,27,99
51,Algiers,3,3.10793272,36.73459754,Chi,74,62,34,25,20,16,44,37,23,91,80,30,23,56
52,Algiers,3,3.10793272,36.73459754,Den,21,99,96,78,15,24,32,82,81,83,94,59,74,10
53,Algiers,3,3.10793272,36.73459754,Allo,37,36,37,95,76,27,10,69,53,43,86,46,39,71
54,Algiers,3,3.10793272,36.73459754,Nat,76,65,16,78,51,39,84,85,45,12,73,79,70,16
55,Algiers,3,3.10793272,36.73459754,Vet,58,49,39,80,63,73,34,39,69,56,19,37,86,73
56,Algiers,3,3.10793272,36.73459754,Ene,59,17,90,31,57,39,28,16,37,12,20,87,18,93
57,Algiers,3,3.10793272,36.73459754,hom,71,48,80,49,84,18,48,43,92,67,32,44,56,32
58,Algiers,3,3.10793272,36.73459754,Tra,90,90,12,22,37,64,85,86,41,45,48,90,96,73
59,Algiers,3,3.10793272,36.73459754,Una,11,32,25,32,33,32,40,62,49,32,48,62,18,67
60,Annaba,3,7.7549272,36.8982165,Ayu,60,40,67,11,20,73,36,68,32,20,26,47,23,54
61,Annaba,3,7.7549272,36.8982165,Chi,86,19,76,29,50,29,26,73,68,60,54,40,29,66
62,Annaba,3,7.7549272,36.8982165,Den,58,65,17,68,96,45,38,52,89,72,54,73,36,85
63,Annaba,3,7.7549272,36.8982165,Allo,59,44,52,45,81,63,39,58,97,85,87,49,93,51
64,Annaba,3,7.7549272,36.8982165,Nat,80,39,75,31,23,90,34,81,59,88,56,94,51,23
65,Annaba,3,7.7549272,36.8982165,Vet,34,71,89,56,26,32,22,70,70,62,57,65,62,58
66,Annaba,3,7.7549272,36.8982165,Ene,82,96,54,38,10,46,17,46,51,16,37,13,45,85
67,Annaba,3,7.7549272,36.8982165,hom,89,56,32,92,80,19,12,52,87,15,81,80,77,58
68,Annaba,3,7.7549272,36.8982165,Tra,76,21,64,93,87,66,90,96,12,90,27,81,12,18
69,Annaba,3,7.7549272,36.8982165,Una,67,97,30,12,55,86,95,33,41,42,50,20,95,43
70,Batna,3,5.731545299000572,35.3384291,Ayu,94,92,55,60,31,84,54,19,23,48,38,76,50,42
71,Batna,3,5.731545299000572,35.3384291,Chi,95,22,48,11,97,44,86,73,74,96,73,65,77,29
72,Batna,3,5.731545299000572,35.3384291,Den,17,80,19,37,98,88,14,44,87,77,57,93,75,80
73,Batna,3,5.731545299000572,35.3384291,Allo,32,93,28,13,41,19,21,51,68,15,99,33,88,56
74,Batna,3,5.731545299000572,35.3384291,Nat,32,40,64,87,94,20,81,89,34,37,95,67,15,46
75,Batna,3,5.731545299000572,35.3384291,Vet,18,62,16,38,87,54,94,76,95,47,67,77,77,61
76,Batna,3,5.731545299000572,35.3384291,Ene,97,64,12,45,28,14,14,98,17,34,97,59,20,73
77,Batna,3,5.731545299000572,35.3384291,hom,85,32,57,61,82,83,85,83,17,21,17,12,46,29
78,Batna,3,5.731545299000572,35.3384291,Tra,26,15,14,90,87,35,11,85,95,86,14,71,85,49
79,Batna,3,5.731545299000572,35.3384291,Una,88,29,32,48,14,71,22,89,12,35,42,96,24,79
80,Bejaïa,3,5.0643687,36.7511783,Ayu,38,68,99,27,70,78,86,78,87,36,55,63,85,63
81,Bejaïa,3,5.0643687,36.7511783,Chi,71,72,62,28,88,38,79,50,74,43,81,76,17,19
82,Bejaïa,3,5.0643687,36.7511783,Den,48,57,48,12,78,10,65,28,39,44,46,58,35,26
83,Bejaïa,3,5.0643687,36.7511783,Allo,10,56,12,42,14,60,88,56,99,15,92,54,17,56
84,Bejaïa,3,5.0643687,36.7511783,Nat,19,54,78,59,89,45,74,99,31,18,31,88,30,98
85,Bejaïa,3,5.0643687,36.7511783,Vet,57,56,79,95,36,15,94,93,63,16,65,58,66,84
86,Bejaïa,3,5.0643687,36.7511783,Ene,68,29,29,16,35,90,75,28,17,64,41,54,55,40
87,Bejaïa,3,5.0643687,36.7511783,hom,13,94,98,30,65,82,32,67,21,89,22,69,44,22
88,Bejaïa,3,5.0643687,36.7511783,Tra,54,64,83,11,34,43,18,60,41,36,10,38,85,23
89,Bejaïa,3,5.0643687,36.7511783,Una,63,99,18,54,63,29,51,75,90,47,50,57,18,50
90,Blida,3,2.8287985,36.4701645,Ayu,57,67,37,56,65,26,58,92,33,14,33,94,83,14
91,Blida,3,2.8287985,36.4701645,Chi,99,68,15,46,13,59,36,77,85,15,50,76,69,92
92,Blida,3,2.8287985,36.4701645,Den,56,36,44,96,37,70,47,79,35,94,58,53,27,10
