,City,State,Country,log,lat,log_S,lat_S,log_Con,lat_Con,id_country,id_state,id_city
0,Her?t,Herat,Afghanistan,11.2208779,50.9635801,11.2208779,50.9635801,66.2385139,33.7680065,1,10001,40001
1,Kabul,Kabul,Afghanistan,69.1776838,34.5260109,69.1776838,34.5260109,66.2385139,33.7680065,1,10002,40002
2,Elbasan,Elbasan County,Albania,20.0794072,41.1105874,20.0794072,41.1105874,19.9999619,41.000028,2,10003,40003
3,Tirana,Tirana County,Albania,19.82556285758297,41.3305141,19.82556285758297,41.3305141,19.9999619,41.000028,2,10004,40004
4,Tirana,Tirana District,Albania,19.82556285758297,41.3305141,19.82556285758297,41.3305141,19.9999619,41.000028,2,10005,40005
5,Algiers,Algiers,Algeria,3.0601882,36.7753606,3.10793272,36.73459754,2.9999825,28.0000272,3,10006,40006
6,Birkhadem,Algiers,Algeria,3.0490708,36.7154602,3.10793272,36.73459754,2.9999825,28.0000272,3,10006,40007
7,Aïn Taya,Algiers,Algeria,3.2926194,36.7912902,3.10793272,36.73459754,2.9999825,28.0000272,3,10006,40008
8,El Achour,Algiers,Algeria,2.9905236,36.7341624,3.10793272,36.73459754,2.9999825,28.0000272,3,10006,40009
9,Les Eucalyptus,Algiers,Algeria,3.1472616,36.6567143,3.10793272,36.73459754,2.9999825,28.0000272,3,10006,40010
10,Annaba,Annaba,Algeria,7.7549272,36.8982165,7.7549272,36.8982165,2.9999825,28.0000272,3,10007,40011
11,Batna,Batna,Algeria,5.731545299000572,35.3384291,5.731545299000572,35.3384291,2.9999825,28.0000272,3,10008,40012
12,Bejaïa,Bejaïa,Algeria,5.0643687,36.7511783,5.0643687,36.7511783,2.9999825,28.0000272,3,10009,40013
13,Blida,Blida,Algeria,2.8287985,36.4701645,2.8287985,36.4701645,2.9999825,28.0000272,3,10010,40014
14,Constantine,Constantine,Algeria,6.60826,36.364519,6.60826,36.364519,2.9999825,28.0000272,3,10011,40015
15,Djelfa,Djelfa,Algeria,3.217253079090331,34.342841,3.217253079090331,34.342841,2.9999825,28.0000272,3,10012,40016
16,Oran,Oran,Algeria,-0.6492976,35.7032751,-0.6492976,35.7032751,2.9999825,28.0000272,3,10013,40017
17,Setif,Setif,Algeria,5.403493,36.1892751,5.403493,36.1892751,2.9999825,28.0000272,3,10014,40018
18,Mehdia daira de meghila,Tiaret,Algeria,,,,,2.9999825,28.0000272,3,10015,40019
19,Ma oputasi county,Eastern District,American Samoa,,,,,-170.7131481,-14.297124,4,10016,40020
20,Lobito,Benguela Province,Angola,13.5464318,-12.3506867,13.7910463,-12.6305762,17.5691241,-11.8775768,5,10017,40021
21,Benguela,Benguela Province,Angola,14.0356608,-12.9104657,13.7910463,-12.6305762,17.5691241,-11.8775768,5,10017,40022
22,Huambo,Huambo Province,Angola,15.7411039,-12.6076318,15.7411039,-12.6076318,17.5691241,-11.8775768,5,10018,40023
23,Lubango,Huila Province,Angola,13.4897509,-14.9195617,13.4897509,-14.9195617,17.5691241,-11.8775768,5,10019,40024
24,Luanda,Luanda Province,Angola,13.2439512,-8.8272699,13.484719147182988,-10.2803577,17.5691241,-11.8775768,5,10020,40025
25,Belas,Luanda Province,Angola,13.174545441548965,-9.1033375,13.484719147182988,-10.2803577,17.5691241,-11.8775768,5,10020,40026
26,Benguela,Luanda Province,Angola,14.0356608,-12.9104657,13.484719147182988,-10.2803577,17.5691241,-11.8775768,5,10020,40027
27,Malanje,Malanje Province,Angola,16.9364293,-9.535332,16.9364293,-9.535332,17.5691241,-11.8775768,5,10021,40028
